place,water_tap_id,lat,lon
Hiiumaa Selver,1034,58.98972105,22.764042917796704
Hilton Park hotell,306,56.03721,-3.4362486344565424
Himmaste Külakeskus,384,58.2069695,27.2574021
Hindreku tee,2311,59.4565694,24.4076925
Hirve tee 6-5,1420,59.5297848,24.8556433
"Hobuse 18, Pärnu",172,58.39429,24.48056294064263
"Hobuse 19A, Pärnu",172,58.395725,24.482903148165327
Holstre kooli köögist,502,58.2759382,25.6919811
Hommiku paak,341,,
Hooldekodu,2455,58.3748116,24.5692147
Hooldekodu köök,347,,
Hooldekodu tee 23B,306,59.4537474,24.9062036
"Hostel Tallinn, Alron Invest OÜ",306,59.426816,24.7717301
"Hotell ""Trapp""",846,,
Hotell Braavo,306,59.4403802,24.7506632
Hotell Dzingel,341,59.3784154,24.7181162
Hotell Ecoland,174,59.4912408,24.8790304
Hotell Pärnu,172,58.8864334,25.5677022
Hotell Rocca-al-Mare,306,59.429858,24.6513649
Hotell Strand,172,58.3739169,24.520363
Hotell Stroomi,306,,
Hotell Susi,306,,
Hotell Sõnajala,1034,,
Hotell Tähetorni,341,59.3875285,24.638842319933943
Hotelli Liivarand veevärk,430,59.4404295,28.009356045708955
Hotelli restorani köök,1488,,
Hulja aleviku veevärk,1002,,
Hullo kauplus,1171,58.9923679,23.2432794
Hullo küla VTJ väljund,1171,58.994916,23.24587806367216
Hummuli Põhikool,241,57.907380599999996,26.060111412629162
Hummuli aleviku puurkaevu kraanist,241,,
Hurmi küla Nurme kinnistu,1395,58.01233125,26.880459247795248
Hurmi küla elamu,1395,58.01233125,26.880459247795248
Hurmi pumpla peale filtrit,1395,,
Härma küla,899,58.7983536,22.46706612459848
Härma küla pumpla,899,58.7983536,22.46706612459848
